"Complex","Class","R1","HanschPi1","Hammett1","VdW1","R2","HanschPi2","Hammett2","VdW2","R3","HanschPi3","Hammett3","VdW3","R4","HanschPi4","Hammett4","VdW4","R5","HanschPi5","Hammett5","VdW5","R6","HanschPi6","Hammett6","VdW6","Bridge","HanschPi7","Hammett7","VdW7"
"[Ti](Cl)Cl.CN1C2=C(C=CC=C2)C(CN(C)C)=C1Cc3cccc3.CN4C(Cc5cccc5)=C(CN(C)C)C6=C4C=CC=C6","M","*Cc1c(CN(C)C)c2ccccc2n1C","1.447","-0.033","153.28313999999995","*Cc1c(CN(C)C)c2ccccc2n1C","1.447","-0.033","153.28313999999995","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=CC=C2)C=C1Cc3cccc3.CN4C(Cc5cccc5)=CC6=C4C=CC=C6","M","*Cc1cc2ccccc2n1C","1.447","-0.033","102.90023999999997","*Cc1cc2ccccc2n1C","1.447","-0.033","102.90023999999997","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=C(OC)C=C2)C=C1Cc3cccc3.CN4C(Cc5cccc5)=CC6=C4C=CC(OC)=C6","M","*Cc1cc2cc(OC)ccc2n1C","1.447","-0.033","123.79833","*Cc1cc2cc(OC)ccc2n1C","1.447","-0.033","123.79833","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=CC=C2)C(Cc3cccc3)=C1.CN4C=C(Cc5cccc5)C6=C4C=CC=C6","M","*Cc1cn(C)c2ccccc12","1.929","-0.201","102.90023999999997","*Cc1cn(C)c2ccccc12","1.929","-0.201","102.90023999999997","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=C(OC)C=C2)C(Cc3cccc3)=C1.CN4C=C(Cc5cccc5)C6=C4C=CC(OC)=C6","M","*Cc1cn(C)c2ccc(OC)cc12","1.929","-0.201","123.79833","*Cc1cn(C)c2ccc(OC)cc12","1.929","-0.201","123.79833","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.COCN1C2=C(C=CC=C2)C(Cc3cccc3)=C1.COCN4C=C(Cc5cccc5)C6=C4C=CC=C6","M","*Cc1cn(COC)c2ccccc12","1.929","-0.201","123.79833","*Cc1cn(COC)c2ccccc12","1.929","-0.201","123.79833","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=CC=C2)C=C1C(N(C)C)c3cccc3.CN4C(C(N(C)C)c5cccc5)=CC6=C4C=CC=C6","M","*C(c1cc2ccccc2n1C)N(C)C","1.447","-0.033","139.42584","*C(c1cc2ccccc2n1C)N(C)C","1.447","-0.033","139.42584","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN1C2=C(C=C(OC)C=C2)C=C1C(N(C)C)c3cccc3.CN4C(C(N(C)C)c5cccc5)=CC6=C4C=CC(OC)=C6","M","*C(c1cc2cc(OC)ccc2n1C)N(C)C","1.447","-0.033","160.32392999999996","*C(c1cc2cc(OC)ccc2n1C)N(C)C","1.447","-0.033","160.32392999999996","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CN(C(C1=CC(C=CC=C2)=C2N1CN(C)C)c3cccc3)C.CN(C(C4=CC5=C(C=CC=C5)N4CN(C)C)c6cccc6)C","M","*C(c1cc2ccccc2n1CN(C)C)N(C)C","1.447","-0.033","175.95144000000005","*C(c1cc2ccccc2n1CN(C)C)N(C)C","1.447","-0.033","175.95144000000005","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
"[Ti](Cl)Cl.CC(CC(O[C@@H]1CC2=CC[C@]([C@@](CC[C@@H]3[C@H](C)CC[C@@H](C(C)C)CC)([H])[C@]3(C)CC4)([H])[C@@]4([H])[C@@]2(C)CC1)=O)(C)c5cccc5.c6cccc6","M","*C(C)(C)CC(=O)OC1CCC2(C)C(=CCC3([H])C2([H])CCC2(C)C(C(C)CCC(CC)C(C)C)CCC32[H])C1","1.084","-0.055","442.6363799999999","","0","0","1.32","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No ligand","N/A","N/A","N/A","No bridge","N/A","N/A","N/A"
